image_a,image_b,label,transformation,pair_type,clip_score,cnn_score,final_score,prediction,correct
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0085_138464.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0086_127571_blur.jpg,not_plagiarized,blur,negative,0.656721,0.412949,0.437327,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0086_127571.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0086_127571_blur.jpg,plagiarized,blur,positive,0.975290,0.894457,0.902541,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0086_127571.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0087_109245_blur.jpg,not_plagiarized,blur,negative,0.692555,0.431221,0.457355,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0087_109245.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0087_109245_blur.jpg,plagiarized,blur,positive,0.977986,0.890693,0.899422,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0087_109245.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0088_122349_blur.jpg,not_plagiarized,blur,negative,0.814092,0.450062,0.486465,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0088_122349.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0088_122349_blur.jpg,plagiarized,blur,positive,0.967297,0.885152,0.893366,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0088_122349.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0089_160885_blur.jpg,not_plagiarized,blur,negative,0.687253,0.382573,0.413041,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0089_160885.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0089_160885_blur.jpg,plagiarized,blur,positive,0.968956,0.889251,0.897222,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0089_160885.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0090_140408_blur.jpg,not_plagiarized,blur,negative,0.614656,0.180599,0.224005,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0090_140408.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0090_140408_blur.jpg,plagiarized,blur,positive,0.984422,0.917647,0.924324,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0090_140408.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0091_117032_blur.jpg,not_plagiarized,blur,negative,0.723561,0.365949,0.401711,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0091_117032.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0091_117032_blur.jpg,plagiarized,blur,positive,0.971323,0.845585,0.858158,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0091_117032.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0092_135428_blur.jpg,not_plagiarized,blur,negative,0.631430,0.319032,0.350271,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0092_135428.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0092_135428_blur.jpg,plagiarized,blur,positive,0.972621,0.909287,0.915620,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0092_135428.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0093_131819_blur.jpg,not_plagiarized,blur,negative,0.561716,0.171806,0.210797,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0093_131819.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0093_131819_blur.jpg,plagiarized,blur,positive,0.977964,0.936147,0.940329,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0093_131819.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0094_150389_blur.jpg,not_plagiarized,blur,negative,0.690594,0.398839,0.428014,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0094_150389.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0094_150389_blur.jpg,plagiarized,blur,positive,0.988909,0.935749,0.941065,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0094_150389.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0095_148758_blur.jpg,not_plagiarized,blur,negative,0.748245,0.505631,0.529892,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0095_148758.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0095_148758_blur.jpg,plagiarized,blur,positive,0.978680,0.891747,0.900440,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0095_148758.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0096_138359_blur.jpg,not_plagiarized,blur,negative,0.630642,0.264099,0.300753,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0096_138359.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0096_138359_blur.jpg,plagiarized,blur,positive,0.970929,0.843518,0.856260,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0096_138359.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0097_98268_blur.jpg,not_plagiarized,blur,negative,0.551866,0.229826,0.262030,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0097_98268.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0097_98268_blur.jpg,plagiarized,blur,positive,0.976294,0.835782,0.849834,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0097_98268.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0098_122351_blur.jpg,not_plagiarized,blur,negative,0.521332,0.235121,0.263742,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0098_122351.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0098_122351_blur.jpg,plagiarized,blur,positive,0.965422,0.811297,0.826709,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0098_122351.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0099_126769_blur.jpg,not_plagiarized,blur,negative,0.645019,0.154331,0.203400,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0099_126769.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0099_126769_blur.jpg,plagiarized,blur,positive,0.961313,0.836418,0.848908,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0099_126769.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0100_135661_blur.jpg,not_plagiarized,blur,negative,0.629875,0.182723,0.227438,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0100_135661.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0100_135661_blur.jpg,plagiarized,blur,positive,0.970227,0.888450,0.896627,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0100_135661.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0101_135214_blur.jpg,not_plagiarized,blur,negative,0.679777,0.409785,0.436784,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0101_135214.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0101_135214_blur.jpg,plagiarized,blur,positive,0.981279,0.885087,0.894706,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0101_135214.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0102_97155_blur.jpg,not_plagiarized,blur,negative,0.621193,0.188025,0.231342,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0102_97155.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0102_97155_blur.jpg,plagiarized,blur,positive,0.984078,0.890487,0.899846,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0102_97155.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0103_134072_blur.jpg,not_plagiarized,blur,negative,0.564967,0.092197,0.139474,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0103_134072.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0103_134072_blur.jpg,plagiarized,blur,positive,0.983380,0.895472,0.904263,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0103_134072.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0104_124089_blur.jpg,not_plagiarized,blur,negative,0.609349,0.084130,0.136652,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0104_124089.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0104_124089_blur.jpg,plagiarized,blur,positive,0.976843,0.826211,0.841274,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0104_124089.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0105_136510_blur.jpg,not_plagiarized,blur,negative,0.408734,0.102979,0.133554,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0105_136510.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0105_136510_blur.jpg,plagiarized,blur,positive,0.954496,0.647594,0.678285,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0105_136510.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0106_155783_blur.jpg,not_plagiarized,blur,negative,0.562068,0.141257,0.183338,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0106_155783.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0106_155783_blur.jpg,plagiarized,blur,positive,0.980226,0.932371,0.937157,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0106_155783.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0107_136911_blur.jpg,not_plagiarized,blur,negative,0.541310,0.139095,0.179317,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0107_136911.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0107_136911_blur.jpg,plagiarized,blur,positive,0.960873,0.769037,0.788221,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0107_136911.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0108_147017_blur.jpg,not_plagiarized,blur,negative,0.727819,0.275110,0.320380,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0108_147017.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0108_147017_blur.jpg,plagiarized,blur,positive,0.986268,0.854279,0.867478,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0108_147017.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0109_143602_blur.jpg,not_plagiarized,blur,negative,0.873177,0.548391,0.580870,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0109_143602.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0109_143602_blur.jpg,plagiarized,blur,positive,0.986433,0.875354,0.886462,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0109_143602.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0110_135539_blur.jpg,not_plagiarized,blur,negative,0.629809,0.100154,0.153120,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0110_135539.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0110_135539_blur.jpg,plagiarized,blur,positive,0.973257,0.944227,0.947130,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0110_135539.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0111_149768_blur.jpg,not_plagiarized,blur,negative,0.524017,0.263510,0.289561,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0111_149768.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0111_149768_blur.jpg,plagiarized,blur,positive,0.967054,0.864297,0.874573,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0111_149768.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0112_156112_blur.jpg,not_plagiarized,blur,negative,0.601263,0.173538,0.216311,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0112_156112.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0112_156112_blur.jpg,plagiarized,blur,positive,0.961071,0.949298,0.950475,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0112_156112.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0113_111811_blur.jpg,not_plagiarized,blur,negative,0.685080,0.410582,0.438032,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0113_111811.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0113_111811_blur.jpg,plagiarized,blur,positive,0.969661,0.827909,0.842084,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0113_111811.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0114_155665_blur.jpg,not_plagiarized,blur,negative,0.702573,0.293318,0.334243,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0114_155665.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0114_155665_blur.jpg,plagiarized,blur,positive,0.983557,0.925790,0.931567,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0114_155665.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0115_122338_blur.jpg,not_plagiarized,blur,negative,0.637769,0.138937,0.188820,not_plagiarized,True
