image_a,image_b,label,clip_score,cnn_score,hash_score,final_score,prediction,correct
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_compress.jpg,plagiarized,0.998507,0.999488,1.000000,0.999095,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Afternoon-with-Lily_blur.png,plagiarized,0.966063,0.926844,0.968254,0.942532,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Afternoon-with-Lily_brightness.png,plagiarized,0.980078,0.951461,0.873016,0.962908,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Afternoon-with-Lily_contrast.png,plagiarized,0.968577,0.917776,0.904762,0.938096,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Afternoon-with-Lily_crop.png,plagiarized,0.972427,0.933291,0.809524,0.948946,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Afternoon-with-Lily_rotate.png,plagiarized,0.926412,0.752330,0.619048,0.821963,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Afternoon-with-Lily_watermark.png,plagiarized,0.943786,0.879172,0.904762,0.905018,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original copy.png,plagiarized,1.000000,1.000000,1.000000,1.000000,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_resize.png,plagiarized,0.999920,0.999829,1.000000,0.999865,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_compress.jpg,plagiarized,0.993797,0.999005,1.000000,0.996922,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Beautiful-in-Season_blur.png,plagiarized,0.959837,0.944334,1.000000,0.950536,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Beautiful-in-Season_brightness.png,plagiarized,0.873974,0.832810,0.904762,0.849276,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Beautiful-in-Season_contrast.png,plagiarized,0.909055,0.895546,0.968254,0.900949,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Beautiful-in-Season_crop.png,plagiarized,0.936995,0.855199,0.746032,0.887917,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Beautiful-in-Season_rotate.png,plagiarized,0.825550,0.628459,0.619048,0.707296,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Beautiful-in-Season_watermark.png,plagiarized,0.965463,0.898746,0.809524,0.925433,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_copy.png,plagiarized,1.000000,1.000000,1.000000,1.000000,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_resize.png,plagiarized,0.999933,0.999710,1.000000,0.999799,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_compress.jpg,plagiarized,0.998794,0.995951,1.000000,0.997088,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Lemon-Rebahan_blur.png,plagiarized,0.957543,0.932040,1.000000,0.942241,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Lemon-Rebahan_brightness.png,plagiarized,0.865050,0.771631,0.650794,0.808998,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Lemon-Rebahan_contrast.png,plagiarized,0.952286,0.940529,0.841270,0.945232,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Lemon-Rebahan_crop.png,plagiarized,0.986767,0.966672,0.904762,0.974710,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Lemon-Rebahan_rotate.png,plagiarized,0.898448,0.745160,0.650794,0.806475,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Lemon-Rebahan_watermark.png,plagiarized,0.913717,0.927118,0.873016,0.921757,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_copy.png,plagiarized,1.000000,1.000000,1.000000,1.000000,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_resize.png,plagiarized,0.999899,0.999590,1.000000,0.999713,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_compress.jpg,plagiarized,0.998843,0.997695,1.000000,0.998154,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Siput-Mata-Bulan_blur.png,plagiarized,0.948965,0.815114,1.000000,0.868654,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Siput-Mata-Bulan_brightness.png,plagiarized,0.855753,0.858535,0.841270,0.857422,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Siput-Mata-Bulan_contrast.png,plagiarized,0.915570,0.883950,0.968254,0.896598,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Siput-Mata-Bulan_crop.png,plagiarized,0.967128,0.917425,0.841270,0.937306,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Siput-Mata-Bulan_rotate.png,plagiarized,0.900764,0.613788,0.619048,0.728578,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Siput-Mata-Bulan_watermark.png,plagiarized,0.958704,0.917197,0.841270,0.933800,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_copy.png,plagiarized,1.000000,1.000000,1.000000,1.000000,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_resize.png,plagiarized,0.999945,0.999752,1.000000,0.999829,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_compress.jpg,plagiarized,0.998970,0.998924,1.000000,0.998943,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Suasana-Lomba-kemerdekaan_blur.png,plagiarized,0.892030,0.774789,0.968254,0.821685,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Suasana-Lomba-kemerdekaan_brightness.png,plagiarized,0.919951,0.862280,0.746032,0.885348,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Suasana-Lomba-kemerdekaan_contrast.png,plagiarized,0.969112,0.946684,0.904762,0.955655,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Suasana-Lomba-kemerdekaan_crop.png,plagiarized,0.939094,0.916455,0.777778,0.925511,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Suasana-Lomba-Kemerdekaan_rotate.png,plagiarized,0.860910,0.741589,0.587302,0.789318,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\modified\Suasana-Lomba-kemerdekaan_watermark.png,plagiarized,0.984828,0.967975,0.777778,0.974716,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\different\Chisa.png,plagiarized,1.000000,1.000000,1.000000,1.000000,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,not_plagiarized,0.687559,0.268777,0.492063,0.436290,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,not_plagiarized,0.547671,0.191457,0.587302,0.333943,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,not_plagiarized,0.493241,0.112148,0.682540,0.264585,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,not_plagiarized,0.557407,0.257348,0.619048,0.377372,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,not_plagiarized,0.578827,0.241506,0.650794,0.376435,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,not_plagiarized,0.639269,0.183973,0.587302,0.366091,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,not_plagiarized,0.612842,0.170694,0.650794,0.347553,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,not_plagiarized,0.634434,0.271258,0.619048,0.416528,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Afternoon-with-Lily_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,not_plagiarized,0.546776,0.166609,0.492063,0.318676,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,not_plagiarized,0.497283,0.187593,0.523810,0.311469,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,not_plagiarized,0.648918,0.464428,0.523810,0.538224,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Beautiful-in-Season_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,not_plagiarized,0.647669,0.152458,0.460317,0.350542,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,not_plagiarized,0.615473,0.151855,0.619048,0.337302,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Lemon-Rebahan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,not_plagiarized,0.503257,0.196812,0.619048,0.319390,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Siput-Mata-Bulan_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\Suasana-Lomba-kemerdekaan_original.png,not_plagiarized,0.563131,0.160064,0.682540,0.321291,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\different\Okuri.png,not_plagiarized,0.683123,0.185159,0.587302,0.384344,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\different\sample 2.jpg,not_plagiarized,0.485670,0.146549,0.555556,0.282198,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\same\chisa_original.png,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\different\wikabichan-lily.jpg,not_plagiarized,0.665742,0.278590,0.492063,0.433451,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\semantic_similar\tree_digital_1.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\semantic_similar\tree_digital_2.jpg,not_plagiarized,0.955621,0.781198,0.650794,0.850967,plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\semantic_similar\beach_different_design.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\semantic_similar\beach_other_design.jpg,not_plagiarized,0.941774,0.913149,0.682540,0.924599,plagiarized,False
,,,,,,,,
metrics,,,,,,,,
total,75.000000,,,,,,,
accuracy,0.906667,,,,,,,
precision,0.961538,,,,,,,
recall,0.909091,,,,,,,
f1,0.934579,,,,,,,
true_positive,50.000000,,,,,,,
false_positive,2.000000,,,,,,,
false_negative,5.000000,,,,,,,
